Keyword,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-03 since:2024-11-02&src=typed_query",gargola36,https://x.com/gargola36,gargola36,False,2024-11-02 00:22:41+00:00,False,"EL PERIODICO ESPECTRO
EL diario de la santa muerte
                NOTICIAS1P
LA NUEVA REFORMA PODER JUDICIAL CORRUPCION LE QUITA LOS DERECHOS JUECES MAGISTRADOS LA PENSION DERECHO SE LAS QUITA EL SUELDO ESTA CONSTITUCION ORIGINAL SE LOS QUITA CONSTITUCION ORIGINAL DICE",1852506581360906551,0,0,0,13,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-03 since:2024-11-02&src=typed_query",Juzgadoras y Juzgadores Federales,https://x.com/jufed_org,jufed_org,False,2024-11-02 02:29:58+00:00,False,JUFED obtiene suspensión provisional contra cese masivo de sus agremiados en el proceso de implementación de la Reforma Judicial. https://t.co/xSaAb3pSGO,1852538612325511252,12,29,51,2733,1,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-03 since:2024-11-02&src=typed_query",Armando Alvarez,https://x.com/alvarez_armando,alvarez_armando,False,2024-11-02 05:06:57+00:00,False,"La Asociación Nacional de Magistrados de Circuito y Jueces Federales (#JUFED) obtuvo una suspensión provisional para evitar un cese masivo de sus agremiados en el proceso de implementación de la #ReformaAlPoderJudicial #Mexico 

👉https://t.co/lwxZ9InrK2 https://t.co/dy2qailzMW",1852578119758000165,0,1,2,180,0,https://pbs.twimg.com/media/GbWt-3AXUAAJTUM.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-03 since:2024-11-02&src=typed_query",Fuerza Informativa Azteca,https://x.com/AztecaNoticias,AztecaNoticias,True,2024-11-02 01:41:57+00:00,False,"#México | La Asociación Nacional de Magistrados de Circuito y Jueces Federales (#JUFED) obtuvieron una suspensión provisional para evitar un cese masivo de sus agremiados en el proceso de implementación de la #ReformaAlPoderJudicial.

👉https://t.co/vWCPpvKGTF https://t.co/7bWony6dvZ",1852526527381901792,0,3,7,1482,0,https://pbs.twimg.com/media/GbV545UWQAAz3M_.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-03 since:2024-11-02&src=typed_query",Fuerza Informativa Azteca,https://x.com/AztecaNoticias,AztecaNoticias,True,2024-11-02 10:00:01+00:00,False,"#México | La #JUFED obtuvo una suspensión provisional contra el cese masivo de sus jueces y magistrados, durante el proceso de implementación de la #ReformaAlPoderJudicial.

https://t.co/vWCPpvLeJd https://t.co/izjXNqFNUz",1852651872651502049,0,2,3,1615,0,https://pbs.twimg.com/media/GbWG44VXMAA95pM.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",Isao Love,https://x.com/IsaoLove188698,IsaoLove188698,False,2024-11-05 23:26:54+00:00,False,"Corte desecha proyecto para invalidar reforma al Poder Judicial tras no alcanzar 8 votos
La Suprema Corte de Justicia de la Nación desestimó el proyecto del ministro Juan Luis González Alcántara sobre la reforma al Poder Judicial; se queda.
https://t.co/KUdSKT0jQg",1853942094018265190,0,0,0,78,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",Fuerza Informativa Azteca,https://x.com/AztecaNoticias,AztecaNoticias,True,2024-11-05 23:31:58+00:00,False,"#ÚLTIMAHORA | ¡#SuperMartes negro!

Fracasa proyecto de impugnación contra la #ReformaAlPoderJudicial

Esto tras determinar que se requieren de ocho votos de 11 para declarar inválidos algunos puntos del Decreto que fueron impugnados.

https://t.co/h9Q7PNRtwh https://t.co/P70fAUFSdq",1853943367337652735,16,29,70,4074,2,https://pbs.twimg.com/media/GbqBKk_XIAUuYI5.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",Azteca Sonora,https://x.com/AztecaSonora,AztecaSonora,False,2024-11-05 23:49:44+00:00,False,"¡Martes negro! Corte desecha proyecto para invalidar reforma al Poder Judicial tras no alcanzar 8 votos

https://t.co/ZEM38ZGQ4U",1853947841254756713,0,1,2,52,0,,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",Fuerza Informativa Azteca,https://x.com/AztecaNoticias,AztecaNoticias,True,2024-11-05 13:43:40+00:00,False,"¡Buenos FIAS! ☀️ Con @ArgeliaCastel 

Suprema Corte definirá el futuro de la #ReformaAlPoderJudicial 
https://t.co/bndcIZ43eK

Hoy se realizarán las elecciones presidenciales en EU
https://t.co/HGzsknuZc9

Ubican restos del noveno minero en “El Pinabete”
https://t.co/rZAq0ype6x https://t.co/Kv9qTmIjvm",1853795320800661942,0,3,25,1443,1,https://pbs.twimg.com/ext_tw_video_thumb/1853795221018185729/pu/img/YYJluqi89OyxHZYh.jpg,False,,,,,es
reforma poder judicial,"https://x.com/search?q=""reforma poder judicial"" lang:es until:2024-11-06 since:2024-11-05&src=typed_query",La Jornada Maya,https://x.com/LaJornadaMaya,LaJornadaMaya,False,2024-11-05 20:01:09+00:00,False,"#Astillero por  @julioastillero: Con la ministra Piña al frente, la Corte se prepara para la contienda sobre la #reformajudicial. La democracia constitucional está en juego. Todo listo. ¡Que inicien las apuestas! https://t.co/gll4NJ42yc",1853890316392137176,0,0,0,78,0,,False,,,,,es
